Genre,Reports,Age,Gpa,Year,NewText,Nationality_Egypt,Nationality_France,Nationality_Indonesia,Nationality_Mexico,Nationality_Soudan,Nationality_South Africa,Nationality_Yemen,Gender_F,Gender_M
Academic Support and Resources,"I have a lot of other commitments that often conflict with my schoolwork, and it's been really hard to juggle everything.",16,0.37,1,"['lot', 'commitment', 'often', 'conflict', 'schoolwork', 'really', 'hard', 'juggle', 'everything']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"I've been feeling really run down lately, and it's been tough to stay focused on my studies.",21,0.17,1,"['feeling', 'really', 'run', 'lately', 'tough', 'stay', 'focused', 'study']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The stress and anxiety of college life has been really overwhelming,23,1.54,1,"['stress', 'anxiety', 'college', 'life', 'really', 'overwhelming']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"The academic workload is becoming overwhelming, especially with the difficulty of course material. It's difficult to manage my time well and balance my work responsibilities with my academic ones. I have a hard time sleeping due to the stress and anxiety this is causing me, and it's starting to affect my mental health.",21,1.02,1,"['academic', 'workload', 'becoming', 'overwhelming', 'especially', 'difficulty', 'course', 'material', 'difficult', 'manage', 'time', 'well', 'balance', 'work', 'responsibility', 'academic', 'one', 'hard', 'time', 'sleeping', 'due', 'stress', 'anxiety', 'causing', 'starting', 'affect', 'mental', 'health']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"I find myself struggling with the difficulty of course material and trying to manage my time effectively. Balancing work and academic responsibilities is a challenge, and I'm not getting enough sleep. This is causing me stress and anxiety, which is taking a toll on my mental health.",25,1.99,1,"['find', 'struggling', 'difficulty', 'course', 'material', 'trying', 'manage', 'time', 'effectively', 'balancing', 'work', 'academic', 'responsibility', 'challenge', 'getting', 'enough', 'sleep', 'causing', 'stress', 'anxiety', 'taking', 'toll', 'mental', 'health']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"Managing the academic workload and the difficulty of course material is a constant struggle. I need to improve my time management skills to balance work and academic responsibilities, but it's hard when I have time conflicts with other commitments. The lack of sleep is starting to affect my mental health, and I'm feeling stressed and anxious.",18,0.84,1,"['managing', 'academic', 'workload', 'difficulty', 'course', 'material', 'constant', 'struggle', 'need', 'improve', 'time', 'management', 'skill', 'balance', 'work', 'academic', 'responsibility', 'hard', 'time', 'conflict', 'commitment', 'lack', 'sleep', 'starting', 'affect', 'mental', 'health', 'feeling', 'stressed', 'anxious']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"I'm finding it hard to keep up with the academic workload, especially since the course material is challenging. Balancing work and academic responsibilities is tough, and there are often time conflicts with other commitments. I'm not getting enough sleep, and it's starting to affect my mental health. The stress and anxiety are overwhelming.",18,1.15,1,"['finding', 'hard', 'keep', 'academic', 'workload', 'especially', 'since', 'course', 'material', 'challenging', 'balancing', 'work', 'academic', 'responsibility', 'tough', 'often', 'time', 'conflict', 'commitment', 'getting', 'enough', 'sleep', 'starting', 'affect', 'mental', 'health', 'stress', 'anxiety', 'overwhelming']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"The academic workload is taking its toll on me, especially since the course material is so difficult. I'm trying to manage my time effectively, but it's challenging to balance work and academic responsibilities. There are always time conflicts with other commitments, and I'm not getting enough sleep. This is causing me stress and anxiety, and it's starting to impact my mental health.",16,0.39,1,"['academic', 'workload', 'taking', 'toll', 'especially', 'since', 'course', 'material', 'difficult', 'trying', 'manage', 'time', 'effectively', 'challenging', 'balance', 'work', 'academic', 'responsibility', 'always', 'time', 'conflict', 'commitment', 'getting', 'enough', 'sleep', 'causing', 'stress', 'anxiety', 'starting', 'impact', 'mental', 'health']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"I'm struggling with the academic workload and the difficulty of the course material. I need to improve my time management skills to balance work and academic responsibilities, but there are always time conflicts with other commitments. I'm not sleeping well, and it's affecting my mental health. I'm feeling stressed and anxious all the time.",27,1.27,1,"['struggling', 'academic', 'workload', 'difficulty', 'course', 'material', 'need', 'improve', 'time', 'management', 'skill', 'balance', 'work', 'academic', 'responsibility', 'always', 'time', 'conflict', 'commitment', 'sleeping', 'well', 'affecting', 'mental', 'health', 'feeling', 'stressed', 'anxious', 'time']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,"It's challenging to keep up with the academic workload, especially since the course material is so difficult. I need to work on my time management skills to balance work and academic responsibilities, but there are always time conflicts with other commitments. The lack of sleep is starting to take its toll on my mental health, and I'm feeling stressed and anxious.",26,0.36,1,"['challenging', 'keep', 'academic', 'workload', 'especially', 'since', 'course', 'material', 'difficult', 'need', 'work', 'time', 'management', 'skill', 'balance', 'work', 'academic', 'responsibility', 'always', 'time', 'conflict', 'commitment', 'lack', 'sleep', 'starting', 'take', 'toll', 'mental', 'health', 'feeling', 'stressed', 'anxious']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The academic workload is becoming overwhelming, and the course material is so challenging. I'm struggling to balance work and academic responsibilities and manage my time effectively. There are often time conflicts with other commitments, and I'm not getting enough sleep. This is causing me stress and anxiety, and my mental health is suffering.",26,0.1,1,"['academic', 'workload', 'becoming', 'overwhelming', 'course', 'material', 'challenging', 'struggling', 'balance', 'work', 'academic', 'responsibility', 'manage', 'time', 'effectively', 'often', 'time', 'conflict', 'commitment', 'getting', 'enough', 'sleep', 'causing', 'stress', 'anxiety', 'mental', 'health', 'suffering']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The academic workload is getting to be too much, and I'm finding the course material increasingly difficult. I need to improve my time management skills to balance work and academic responsibilities, but there are always time conflicts with other commitments. The lack of sleep is starting to affect my mental health, and I'm feeling stressed and anxious all the time.",23,0.81,1,"['academic', 'workload', 'getting', 'much', 'finding', 'course', 'material', 'increasingly', 'difficult', 'need', 'improve', 'time', 'management', 'skill', 'balance', 'work', 'academic', 'responsibility', 'always', 'time', 'conflict', 'commitment', 'lack', 'sleep', 'starting', 'affect', 'mental', 'health', 'feeling', 'stressed', 'anxious', 'time']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"Managing the academic workload is a challenge, especially since the course material is so difficult. I need to balance work and academic responsibilities, but there are often time conflicts with other commitments. The lack of sleep is starting to take its toll on my mental health, and I'm feeling stressed and anxious.",22,3.63,1,"['managing', 'academic', 'workload', 'challenge', 'especially', 'since', 'course', 'material', 'difficult', 'need', 'balance', 'work', 'academic', 'responsibility', 'often', 'time', 'conflict', 'commitment', 'lack', 'sleep', 'starting', 'take', 'toll', 'mental', 'health', 'feeling', 'stressed', 'anxious']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The academic workload is overwhelming, and the course material is hard to understand. Balancing work and academic responsibilities is tough, and there are always time conflicts with other commitments. I'm not getting enough sleep, and the stress and anxiety are starting to affect my mental health.",27,1.36,1,"['academic', 'workload', 'overwhelming', 'course', 'material', 'hard', 'understand', 'balancing', 'work', 'academic', 'responsibility', 'tough', 'always', 'time', 'conflict', 'commitment', 'getting', 'enough', 'sleep', 'stress', 'anxiety', 'starting', 'affect', 'mental', 'health']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"It's hard to keep up with the academic workload, and the difficulty of the course material is making it even harder. Balancing work and academic responsibilities is a challenge, and there are often time conflicts with other commitments. The lack of sleep is taking its toll",26,2.0,1,"['hard', 'keep', 'academic', 'workload', 'difficulty', 'course', 'material', 'making', 'even', 'harder', 'balancing', 'work', 'academic', 'responsibility', 'challenge', 'often', 'time', 'conflict', 'commitment', 'lack', 'sleep', 'taking', 'toll']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"I have found that the academic workload has been extremely heavy this semester, leaving me feeling overwhelmed and stressed.",22,3.73,1,"['found', 'academic', 'workload', 'extremely', 'heavy', 'semester', 'leaving', 'feeling', 'overwhelmed', 'stressed']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The difficulty of the course material is much higher than I anticipated, and I am struggling to keep up.",22,0.14,1,"['difficulty', 'course', 'material', 'much', 'higher', 'anticipated', 'struggling', 'keep']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I have been struggling with time management skills and finding it difficult to balance my academic responsibilities with work and other commitments.,18,1.06,1,"['struggling', 'time', 'management', 'skill', 'finding', 'difficult', 'balance', 'academic', 'responsibility', 'work', 'commitment']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"Balancing work and academic responsibilities has been a significant challenge, and I have found it difficult to maintain a healthy work-life balance.",20,1.05,1,"['balancing', 'work', 'academic', 'responsibility', 'significant', 'challenge', 'found', 'difficult', 'maintain', 'healthy', 'work', 'life', 'balance']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,Time conflicts with other commitments have made it challenging to keep up with coursework and assignments.,27,0.4,1,"['time', 'conflict', 'commitment', 'made', 'challenging', 'keep', 'coursework', 'assignment']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I am struggling with lack of sleep and fatigue due to the demands of my academic workload.,18,2.46,1,"['struggling', 'lack', 'sleep', 'fatigue', 'due', 'demand', 'academic', 'workload']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The stress and anxiety of the academic workload have been affecting my mental health, and I am finding it difficult to cope.",20,0.96,1,"['stress', 'anxiety', 'academic', 'workload', 'affecting', 'mental', 'health', 'finding', 'difficult', 'cope']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I am concerned about my mental health and have been experiencing symptoms of depression and anxiety due to the academic workload.,21,3.19,1,"['concerned', 'mental', 'health', 'experiencing', 'symptom', 'depression', 'anxiety', 'due', 'academic', 'workload']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The academic workload is overwhelming, and I am struggling to find ways to manage my stress and maintain my mental health.",24,3.44,1,"['academic', 'workload', 'overwhelming', 'struggling', 'find', 'way', 'manage', 'stress', 'maintain', 'mental', 'health']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"I have been finding it difficult to balance my academic workload with other commitments, such as extracurricular activities and social life.",16,2.85,1,"['finding', 'difficult', 'balance', 'academic', 'workload', 'commitment', 'extracurricular', 'activity', 'social', 'life']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The course material is much more challenging than I expected, and I am struggling to keep up with the pace of the class.",21,0.05,1,"['course', 'material', 'much', 'challenging', 'expected', 'struggling', 'keep', 'pace', 'class']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"I am finding it difficult to manage my time effectively, and it is affecting my ability to keep up with assignments and coursework.",23,0.4,1,"['finding', 'difficult', 'manage', 'time', 'effectively', 'affecting', 'ability', 'keep', 'assignment', 'coursework']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"Balancing work and academic responsibilities has been a significant challenge, and I am finding it hard to find time for self-care and relaxation.",18,3.33,1,"['balancing', 'work', 'academic', 'responsibility', 'significant', 'challenge', 'finding', 'hard', 'find', 'time', 'self', 'care', 'relaxation']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"I am struggling to keep up with my coursework due to time conflicts with other commitments, such as part-time work and family obligations.",24,1.07,1,"['struggling', 'keep', 'coursework', 'due', 'time', 'conflict', 'commitment', 'part', 'time', 'work', 'family', 'obligation']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,Lack of sleep and fatigue have been affecting my ability to focus on coursework and stay motivated.,25,3.46,1,"['lack', 'sleep', 'fatigue', 'affecting', 'ability', 'focus', 'coursework', 'stay', 'motivated']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The academic workload is causing significant stress and anxiety, and I am finding it hard to cope with the pressure.",25,3.17,1,"['academic', 'workload', 'causing', 'significant', 'stress', 'anxiety', 'finding', 'hard', 'cope', 'pressure']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I am concerned about my mental health and have been experiencing symptoms of burnout and exhaustion due to the demands of my academic workload.,24,0.44,1,"['concerned', 'mental', 'health', 'experiencing', 'symptom', 'burnout', 'exhaustion', 'due', 'demand', 'academic', 'workload']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I am struggling to find ways to manage my stress and maintain my mental health while balancing my academic responsibilities with other commitments.,24,2.51,1,"['struggling', 'find', 'way', 'manage', 'stress', 'maintain', 'mental', 'health', 'balancing', 'academic', 'responsibility', 'commitment']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The course material is much more difficult than I expected, and I am finding it hard to understand and retain the information.",23,2.8,1,"['course', 'material', 'much', 'difficult', 'expected', 'finding', 'hard', 'understand', 'retain', 'information']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"I am struggling to manage my time effectively, and it is affecting my ability to keep up with assignments and coursework.",20,0.33,1,"['struggling', 'manage', 'time', 'effectively', 'affecting', 'ability', 'keep', 'assignment', 'coursework']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"Balancing work and academic responsibilities has been challenging, and I am finding it hard to find time for social activities and hobbies.",26,3.2,1,"['balancing', 'work', 'academic', 'responsibility', 'challenging', 'finding', 'hard', 'find', 'time', 'social', 'activity', 'hobby']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"Time conflicts with other commitments have been causing significant stress and anxiety, and I am finding it hard to stay motivated.",24,2.2,1,"['time', 'conflict', 'commitment', 'causing', 'significant', 'stress', 'anxiety', 'finding', 'hard', 'stay', 'motivated']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"Lack of sleep and fatigue have been affecting my ability to concentrate and retain information, and I am concerned about my academic performance.",27,2.29,1,"['lack', 'sleep', 'fatigue', 'affecting', 'ability', 'concentrate', 'retain', 'information', 'concerned', 'academic', 'performance']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The academic workload is causing significant stress and anxiety, and I am finding it hard to cope with the pressure.",24,3.85,1,"['academic', 'workload', 'causing', 'significant', 'stress', 'anxiety', 'finding', 'hard', 'cope', 'pressure']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"I am experiencing symptoms of anxiety and depression due to the demands of my academic workload, and I am concerned about my mental health.",25,0.55,1,"['experiencing', 'symptom', 'anxiety', 'depression', 'due', 'demand', 'academic', 'workload', 'concerned', 'mental', 'health']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The academic workload is overwhelming, and I am finding it difficult to stay motivated and engaged in my studies.",21,3.76,1,"['academic', 'workload', 'overwhelming', 'finding', 'difficult', 'stay', 'motivated', 'engaged', 'study']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I have been struggling to find ways to manage my stress and maintain my mental health while balancing my academic responsibilities with other commitments.,22,0.71,1,"['struggling', 'find', 'way', 'manage', 'stress', 'maintain', 'mental', 'health', 'balancing', 'academic', 'responsibility', 'commitment']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"The course material is much more challenging than I expected, and I am struggling to understand the concepts and complete assignments.",16,1.02,1,"['course', 'material', 'much', 'challenging', 'expected', 'struggling', 'understand', 'concept', 'complete', 'assignment']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I am struggling to manage my time effectively and find it hard to balance my academic responsibilities with work and social activities.,21,2.53,1,"['struggling', 'manage', 'time', 'effectively', 'find', 'hard', 'balance', 'academic', 'responsibility', 'work', 'social', 'activity']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"Balancing work and academic responsibilities has been a significant challenge, and I am finding it",18,2.97,1,"['balancing', 'work', 'academic', 'responsibility', 'significant', 'challenge', 'finding']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,The academic workload this semester is overwhelming. I'm having trouble keeping up with all the assignments and readings.,19,2.86,1,"['academic', 'workload', 'semester', 'overwhelming', 'trouble', 'keeping', 'assignment', 'reading']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I find the course material for my math class to be extremely difficult. I've been attending extra study sessions but still feel lost.,18,2.88,1,"['find', 'course', 'material', 'math', 'class', 'extremely', 'difficult', 'attending', 'extra', 'study', 'session', 'still', 'feel', 'lost']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,Balancing my part-time job with my coursework has been a major struggle. I'm constantly exhausted and feel like I don't have enough time to focus on school.,20,2.88,1,"['balancing', 'part', 'time', 'job', 'coursework', 'major', 'struggle', 'constantly', 'exhausted', 'feel', 'like', 'enough', 'time', 'focus', 'school']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I have a time conflict with one of my classes and it's causing a lot of stress. I'm trying to work with my advisor to figure out a solution but it's proving to be difficult.,27,1.11,1,"['time', 'conflict', 'one', 'class', 'causing', 'lot', 'stress', 'trying', 'work', 'advisor', 'figure', 'solution', 'proving', 'difficult']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I'm not getting enough sleep and it's starting to affect my academic performance. I've tried adjusting my schedule but still can't seem to get enough rest.,19,1.12,1,"['getting', 'enough', 'sleep', 'starting', 'affect', 'academic', 'performance', 'tried', 'adjusting', 'schedule', 'still', 'seem', 'get', 'enough', 'rest']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"I'm feeling really overwhelmed with the amount of coursework I have to do, and it's causing a lot of stress and anxiety.",18,0.86,1,"['feeling', 'really', 'overwhelmed', 'amount', 'coursework', 'causing', 'lot', 'stress', 'anxiety']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I've been experiencing mental health issues and it's making it hard to focus on school. I'm trying to seek help but it's been a slow process.,26,1.11,1,"['experiencing', 'mental', 'health', 'issue', 'making', 'hard', 'focus', 'school', 'trying', 'seek', 'help', 'slow', 'process']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"I have a lot of commitments outside of school, including family responsibilities, and it's been a challenge to balance everything.",21,3.6,1,"['lot', 'commitment', 'outside', 'school', 'including', 'family', 'responsibility', 'challenge', 'balance', 'everything']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I'm struggling with time management and finding it hard to prioritize my coursework. I'm looking for resources to help me improve my skills.,27,3.97,1,"['struggling', 'time', 'management', 'finding', 'hard', 'prioritize', 'coursework', 'looking', 'resource', 'help', 'improve', 'skill']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The course material for my history class is very dense and difficult to understand. I'm hoping to find a tutor or study group to help me navigate it.,18,2.33,1,"['course', 'material', 'history', 'class', 'dense', 'difficult', 'understand', 'hoping', 'find', 'tutor', 'study', 'group', 'help', 'navigate']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I've been working a lot lately and it's been hard to find time to focus on schoolwork. I'm trying to find ways to better manage my time.,17,0.93,1,"['working', 'lot', 'lately', 'hard', 'find', 'time', 'focus', 'schoolwork', 'trying', 'find', 'way', 'better', 'manage', 'time']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,The amount of reading and writing assignments in my English class is overwhelming. I'm finding it hard to keep up with the workload.,24,0.66,1,"['amount', 'reading', 'writing', 'assignment', 'english', 'class', 'overwhelming', 'finding', 'hard', 'keep', 'workload']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm feeling a lot of stress and anxiety about upcoming exams. I'm trying to develop better study habits to help me manage my stress.,18,2.77,1,"['feeling', 'lot', 'stress', 'anxiety', 'upcoming', 'exam', 'trying', 'develop', 'better', 'study', 'habit', 'help', 'manage', 'stress']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm having trouble balancing my extracurricular activities with my coursework. I'm considering cutting back on some activities to focus more on school.,21,1.82,1,"['trouble', 'balancing', 'extracurricular', 'activity', 'coursework', 'considering', 'cutting', 'back', 'activity', 'focus', 'school']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I'm feeling burnt out and exhausted from the demands of my coursework. I'm trying to find ways to recharge and take care of my mental health.,16,0.29,1,"['feeling', 'burnt', 'exhausted', 'demand', 'coursework', 'trying', 'find', 'way', 'recharge', 'take', 'care', 'mental', 'health']",1,0,0,0,0,0,0,1,0
Academic Support and Resources,I have a lot of personal commitments that are making it difficult to prioritize my schoolwork. I'm looking for strategies to help me better manage my time.,22,2.18,1,"['lot', 'personal', 'commitment', 'making', 'difficult', 'prioritize', 'schoolwork', 'looking', 'strategy', 'help', 'better', 'manage', 'time']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,The course material for my physics class is very challenging and I'm struggling to keep up. I'm considering seeking additional help from a tutor.,22,1.86,1,"['course', 'material', 'physic', 'class', 'challenging', 'struggling', 'keep', 'considering', 'seeking', 'additional', 'help', 'tutor']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I'm feeling overwhelmed with the amount of reading and assignments in my sociology class. I'm trying to break things down into smaller tasks to make it more manageable.,16,2.4,1,"['feeling', 'overwhelmed', 'amount', 'reading', 'assignment', 'sociology', 'class', 'trying', 'break', 'thing', 'smaller', 'task', 'make', 'manageable']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I'm having trouble sleeping at night and it's causing me to feel tired and unfocused during the day. I'm looking for ways to improve my sleep habits.,26,3.71,1,"['trouble', 'sleeping', 'night', 'causing', 'feel', 'tired', 'unfocused', 'day', 'looking', 'way', 'improve', 'sleep', 'habit']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,The pressure to maintain good grades is causing me a lot of stress and anxiety. I'm trying to find a healthy balance between school and self-care.,23,2.38,1,"['pressure', 'maintain', 'good', 'grade', 'causing', 'lot', 'stress', 'anxiety', 'trying', 'find', 'healthy', 'balance', 'school', 'self', 'care']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I'm struggling with mental health issues that are making it hard to focus on school. I'm working with a therapist to develop coping strategies.,16,2.27,1,"['struggling', 'mental', 'health', 'issue', 'making', 'hard', 'focus', 'school', 'working', 'therapist', 'develop', 'coping', 'strategy']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I have a part-time job that's making it hard to balance my schoolwork. I'm trying to negotiate a better schedule with my employer.,25,0.97,1,"['part', 'time', 'job', 'making', 'hard', 'balance', 'schoolwork', 'trying', 'negotiate', 'better', 'schedule', 'employer']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,"I'm finding it hard to stay motivated with my coursework. I'm trying to set smaller, achievable goals to help me stay on track.",23,0.87,1,"['finding', 'hard', 'stay', 'motivated', 'coursework', 'trying', 'set', 'smaller', 'achievable', 'goal', 'help', 'stay', 'track']",1,0,0,0,0,0,0,0,1
Athletics and sports, I'm having trouble meeting the athletic eligibility requirements because of a schedule conflict with one of my classes. I wish there was more flexibility.,18,3.55,4,"['trouble', 'meeting', 'athletic', 'eligibility', 'requirement', 'schedule', 'conflict', 'one', 'class', 'wish', 'flexibility']",1,0,0,0,0,0,0,1,0
Athletics and sports,"As an athlete, I'm frustrated with the limited access to athletic facilities during peak hours. It's difficult to fit in training sessions when the gym is always packed.",23,3.99,1,"['athlete', 'frustrated', 'limited', 'access', 'athletic', 'facility', 'peak', 'hour', 'difficult', 'fit', 'training', 'session', 'gym', 'always', 'packed']",1,0,0,0,0,0,0,1,0
Athletics and sports,I'm having trouble meeting the athletic eligibility requirements because of a schedule conflict with one of my classes. I wish there was more flexibility.,24,2.68,4,"['trouble', 'meeting', 'athletic', 'eligibility', 'requirement', 'schedule', 'conflict', 'one', 'class', 'wish', 'flexibility']",1,0,0,0,0,0,0,1,0
Athletics and sports,"I've had to deal with a sports-related injury, and the university's medical resources for athletes are very limited. I've had to seek treatment outside of campus.",22,1.5,5,"['deal', 'sport', 'related', 'injury', 'university', 'medical', 'resource', 'athlete', 'limited', 'seek', 'treatment', 'outside', 'campus']",1,0,0,0,0,0,0,1,0
Athletics and sports,"I don't like the culture of the sports team I'm on. It's very exclusive, and some members aren't treated fairly.",27,3.65,2,"['like', 'culture', 'sport', 'team', 'exclusive', 'member', 'treated', 'fairly']",1,0,0,0,0,0,0,1,0
Athletics and sports,I'm disappointed with the gender inequality in our sports program. The women's teams don't get the same funding or recognition as the men's teams.,23,0.15,2,"['disappointed', 'gender', 'inequality', 'sport', 'program', 'woman', 'team', 'get', 'funding', 'recognition', 'men', 'team']",1,0,0,0,0,0,0,1,0
Athletics and sports,"I'm concerned about the university's compliance with Title IX. It seems like some sports programs receive preferential treatment, and that's not fair.",24,3.97,4,"['concerned', 'university', 'compliance', 'title', 'ix', 'seems', 'like', 'sport', 'program', 'receive', 'preferential', 'treatment', 'fair']",1,0,0,0,0,0,0,1,0
Athletics and sports,"The athletic facilities are always overcrowded, and I have to wait a long time to use the equipment I need for my training.",18,3.59,2,"['athletic', 'facility', 'always', 'overcrowded', 'wait', 'long', 'time', 'use', 'equipment', 'need', 'training']",1,0,0,0,0,0,0,1,0
Athletics and sports,I feel like the athletic eligibility requirements are too strict and prevent many students from participating in sports.,26,3.32,3,"['feel', 'like', 'athletic', 'eligibility', 'requirement', 'strict', 'prevent', 'many', 'student', 'participating', 'sport']",1,0,0,0,0,0,0,1,0
Athletics and sports,"I suffered a sports-related injury and had to take time off from training, but the university's support for injured athletes is lacking.",19,3.9,3,"['suffered', 'sport', 'related', 'injury', 'take', 'time', 'training', 'university', 'support', 'injured', 'athlete', 'lacking']",1,0,0,0,0,0,0,1,0
Athletics and sports," The sports team culture at this university is toxic, and I don't feel welcome on the team.",16,3.4,2,"['sport', 'team', 'culture', 'university', 'toxic', 'feel', 'welcome', 'team']",1,0,0,0,0,0,0,1,0
Athletics and sports," The gender inequality in sports is apparent, and the university needs to invest more resources into women's sports programs.",16,3.77,4,"['gender', 'inequality', 'sport', 'apparent', 'university', 'need', 'invest', 'resource', 'woman', 'sport', 'program']",1,0,0,0,0,0,0,1,0
Athletics and sports, The university needs to do more to ensure Title IX compliance and make sure all sports programs are treated fairly.,25,1.51,4,"['university', 'need', 'ensure', 'title', 'ix', 'compliance', 'make', 'sure', 'sport', 'program', 'treated', 'fairly']",1,0,0,0,0,0,0,1,0
Athletics and sports, It's frustrating that I can't access the athletic facilities I need because of strict scheduling limitations.,20,0.05,3,"['frustrating', 'access', 'athletic', 'facility', 'need', 'strict', 'scheduling', 'limitation']",1,0,0,0,0,0,0,1,0
Athletics and sports," I wish the athletic eligibility requirements were more flexible, as they make it difficult for me to balance sports and academics.",21,1.35,3,"['wish', 'athletic', 'eligibility', 'requirement', 'flexible', 'make', 'difficult', 'balance', 'sport', 'academic']",1,0,0,0,0,0,0,1,0
Athletics and sports," I'm struggling to get medical attention for my sports-related injury, and the university's resources are not sufficient.",23,3.8,3,"['struggling', 'get', 'medical', 'attention', 'sport', 'related', 'injury', 'university', 'resource', 'sufficient']",1,0,0,0,0,0,0,1,0
Athletics and sports," The sports team culture can be cliquey and exclusive, making it difficult for some members to feel included.",16,2.36,1,"['sport', 'team', 'culture', 'cliquey', 'exclusive', 'making', 'difficult', 'member', 'feel', 'included']",1,0,0,0,0,0,0,1,0
Athletics and sports, I've witnessed gender inequality within the sports program firsthand and feel it's time for change.,16,0.06,5,"['witnessed', 'gender', 'inequality', 'within', 'sport', 'program', 'firsthand', 'feel', 'time', 'change']",1,0,0,0,0,0,0,1,0
Athletics and sports, The university needs to do more to ensure Title IX compliance and provide equal opportunities for all sports programs.,27,3.41,1,"['university', 'need', 'ensure', 'title', 'ix', 'compliance', 'provide', 'equal', 'opportunity', 'sport', 'program']",1,0,0,0,0,0,0,1,0
Athletics and sports, The athletic facilities are not well-maintained and are often dirty and overcrowded.,23,0.98,5,"['athletic', 'facility', 'well', 'maintained', 'often', 'dirty', 'overcrowded']",1,0,0,0,0,0,0,1,0
Athletics and sports, The athletic eligibility requirements are too strict and limit the number of students who can participate in sports programs.,25,2.13,1,"['athletic', 'eligibility', 'requirement', 'strict', 'limit', 'number', 'student', 'participate', 'sport', 'program']",1,0,0,0,0,0,0,1,0
Athletics and sports, I'm frustrated with the lack of resources available to athletes who suffer from injuries or other medical concerns.,17,1.57,3,"['frustrated', 'lack', 'resource', 'available', 'athlete', 'suffer', 'injury', 'medical', 'concern']",1,0,0,0,0,0,0,1,0
Athletics and sports, The sports team culture is not inclusive and often feels like a popularity contest.,18,2.03,3,"['sport', 'team', 'culture', 'inclusive', 'often', 'feel', 'like', 'popularity', 'contest']",1,0,0,0,0,0,0,1,0
